# hostname;interval;timestamp;frmpg/s;bufpg/s;campg/s
axle;60;1415326382;-27656.58;0.78;26310.28
axle;60;1415326442;-12977.27;0.62;10579.78
axle;60;1415326502;-354.38;0.73;914.72
axle;60;1415326562;2357.83;0.63;838.17
axle;60;1415326622;-11243.92;0.78;6147.35
axle;60;1415326682;8586.15;0.58;-4409.32
axle;60;1415326742;-759.73;0.63;873.63
axle;60;1415326802;-473.05;0.75;863.18
axle;60;1415326862;-9196.80;0.60;490.17
axle;60;1415326922;8233.58;0.73;871.32
axle;60;1415326982;-1178.43;0.63;852.60
axle;60;1415327042;-1825.87;0.77;879.95
axle;60;1415327102;259.92;0.82;928.53
