# hostname;interval;timestamp;DEV;tps;rd_sec/s;wr_sec/s;avgrq-sz;avgqu-sz;await;svctm;%util
axle;60;1415327184;sdb;1656.38;6195.20;136781.33;86.32;7.19;4.34;0.05;7.89
axle;60;1415327184;sda;396.68;0.93;6740.93;17.00;4.88;12.31;0.17;6.56
axle;60;1415327244;sdb;646.95;6353.33;84987.73;141.19;1.87;2.90;0.06;3.92
axle;60;1415327244;sda;233.75;2.93;3803.20;16.28;1.84;7.86;0.17;4.08
axle;60;1415327304;sdb;1192.70;6447.20;77575.87;70.45;2.74;2.30;0.04;4.30
axle;60;1415327304;sda;158.00;0.53;3626.27;22.95;1.20;7.61;0.29;4.54
axle;60;1415327364;sdb;1587.70;6366.27;90600.27;61.07;3.64;2.30;0.04;5.69
axle;60;1415327364;sda;101.50;0.27;1728.40;17.03;1.49;14.65;0.30;3.03
axle;60;1415327424;sdb;1505.80;6353.20;50797.07;37.95;3.47;2.31;0.03;5.23
axle;60;1415327424;sda;2.03;4.53;42.27;23.02;0.00;0.59;0.46;0.09
axle;60;1415327484;sdb;1468.43;6408.53;46850.40;36.27;3.68;2.51;0.03;3.76
axle;60;1415327484;sda;3.00;0.40;351.87;117.42;0.00;0.31;0.18;0.05
axle;60;1415327544;sdb;1275.52;6660.40;40252.00;36.78;2.31;1.82;0.02;3.13
axle;60;1415327544;sda;2.85;0.27;348.00;122.20;0.00;0.26;0.26;0.07
axle;60;1415327604;sdb;920.92;6446.93;31115.60;40.79;2.51;2.73;0.04;3.27
axle;60;1415327604;sda;3.00;0.13;353.87;118.00;0.00;0.49;0.13;0.04
axle;60;1415327664;sdb;1194.75;6212.40;76188.93;68.97;4.35;3.64;0.04;4.81
axle;60;1415327664;sda;2.48;0.00;345.33;139.06;0.00;0.00;0.00;0.00
axle;60;1415327724;sdb;1467.25;6378.67;41450.80;32.60;3.10;2.11;0.02;3.12
axle;60;1415327724;sda;3.22;0.13;363.33;112.99;0.00;0.44;0.15;0.05
axle;60;1415327784;sdb;1532.42;6357.47;40044.93;30.28;6.08;3.97;0.04;5.73
axle;60;1415327784;sda;2.98;0.13;357.87;120.00;0.00;1.23;0.22;0.07
axle;60;1415327844;sdb;1555.23;6519.47;37711.33;28.44;3.92;2.52;0.02;3.75
axle;60;1415327844;sda;2.35;0.00;46.40;19.74;0.00;0.03;0.03;0.01
axle;60;1415327904;sdb;249.87;6792.53;23105.33;119.66;0.33;1.33;0.03;0.86
axle;60;1415327904;sda;1.85;0.00;39.20;21.19;0.00;0.00;0.00;0.00
axle;60;1415327964;sdb;231.77;6511.60;35485.60;181.20;0.33;1.43;0.06;1.35
axle;60;1415327964;sda;2.20;0.00;40.13;18.24;0.00;0.03;0.03;0.01
axle;60;1415328024;sdb;261.87;6563.73;47669.87;207.10;0.43;1.66;0.11;2.93
axle;60;1415328024;sda;2.52;0.00;52.40;20.82;0.00;0.03;0.03;0.01
axle;60;1415328084;sdb;326.20;6652.67;11241.60;54.86;0.72;2.20;0.04;1.27
axle;60;1415328084;sda;2.48;0.00;51.20;20.62;0.00;0.03;0.03;0.01
axle;60;1415328144;sdb;371.80;6514.13;90593.60;261.18;1.96;5.27;0.13;5.01
axle;60;1415328144;sda;1.73;0.00;35.07;20.23;0.00;0.00;0.00;0.00
