# hostname;interval;timestamp;pswpin/s;pswpout/s
axle;60;1415327184;0.00;788.03
axle;60;1415327244;0.15;432.22
axle;60;1415327304;0.00;408.70
axle;60;1415327364;0.00;171.68
axle;60;1415327424;0.52;0.00
axle;60;1415327484;0.00;0.00
axle;60;1415327544;0.00;0.00
axle;60;1415327604;0.00;0.00
axle;60;1415327664;0.00;0.00
axle;60;1415327724;0.00;0.00
axle;60;1415327784;0.00;0.00
axle;60;1415327844;0.00;0.00
axle;60;1415327904;0.00;0.00
axle;60;1415327964;0.00;0.00
axle;60;1415328024;0.00;0.00
axle;60;1415328084;0.00;0.00
axle;60;1415328144;0.00;0.00
